Country or Area,Subgroup,Year,Source,Unit,Value
Peru,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,26000
Peru,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,91000
Philippines,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,3400
Philippines,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,12000
Poland,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,7500
Poland,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,25000
Portugal,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1300
Portugal,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,32000
Republic of Moldova,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,16000
Republic of Moldova,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,28000
Russian Federation,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,210000
Russian Federation,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,940000
Rwanda,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,91000
Rwanda,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,160000
Senegal,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,33000
Senegal,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,56000
Serbia and Montenegro,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,2000
Serbia and Montenegro,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,10000
Sierra Leone,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,26000
